,Latitude,Longitude,SiteCode,SiteName,servCode,servURL,geometry,Huc_Codes
0,39.04119,-84.2129,EPA_Lake_Harsha_Data:SLT,South Lucy Tributary Headwater,EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.2129 39.04119),050902021203
1,39.05701,-84.17948,EPA_Lake_Harsha_Data:LRC,"Lucy Run Confluence LUCY RUN S OF BATAVIA, NEAR MOUTH",EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.17948 39.05701),050902021203
2,39.132870000000004,-84.01529000000001,EPA_Lake_Harsha_Data:GRR,Grassy Fork Stream at crossing of Glancy-Marathon Rd. GRASSY FORK S OF MARATHON at GLANCY CORNER-MARATHON RD.,EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.01529000000001 39.13287),050902021101
3,39.0369,-84.13869,EPA_Lake_Harsha_Data:DWT,"Bob McEwen Drinking Water Treatment Plant, Greenbrier Rd., at sink delivered from  intake tower",EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.13869 39.0369),050902021203
4,39.1155,-84.02469,EPA_Lake_Harsha_Data:EFB,East Fork River at Blue Sky Parkway crossing EFLMR RM 44.1 at Blue Sky Park Rd.,EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.02469000000001 39.1155),050902021102
5,39.15514,-84.28891,EPA_Lake_Harsha_Data:EFC,East Fork River near confluence with the Little Miami River at South Milford Rd bridge crossing E FK L MIAMI R NEAR TERRACE PARK COUNTRY CLUB at S MILFORD RD,EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.28891 39.15514),050902021305
6,39.140390000000004,-84.25899,EPA_Lake_Harsha_Data:HLR,Hall Run HALL RUN NEAR MILFORD at ROUNDBOTTOM RD.,EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.25899 39.14039),050902021305
7,39.14761,-84.25565999999999,EPA_Lake_Harsha_Data:HST,Heiserman Stream at intake to the Experimental Stream Facility,EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.25565999999999 39.14761),050902021305
8,39.0072,-84.13683,EPA_Lake_Harsha_Data:SHA,South Harsha Tributary at Elk Lick Rd crossing in East Fork Lake State Park,EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.13683 39.0072),050902021203
9,38.99054,-84.05957,EPA_Lake_Harsha_Data:CLC,Cloverlick Creek at end of Ninnichuck Rd. off of St Route 133; 2nd largest inflow to East Fork Lake,EPA_Lake_Harsha_Data,https://hisprod.rtnccad.epa.gov/prod/CUAHSI_1_1.asmx?WSDL,POINT (-84.05956999999999 38.99054),050902021202
